Task,Priority,Category,Due Date,Completed
jhjtxut,HIGH,Shopping,06-06-2026,Yes
Study python,MEDIUM,Personal,,Yes
learn python,MEDIUM,Personal,20-06-2025,Yes
ABCDefghi,MEDIUM,Personal,,Yes
abcdyddv,MEDIUM,Work,09-01-2021,Yes
abcdyddv,HIGH,Personal,09-01-2021,Yes
abcd,HIGH,Study,11-06-2026,No
abcdyddy,HIGH,Personal,26-05-2026,Yes
abcdyddv,MEDIUM,Personal,20-06-2025,Yes
learn python,MEDIUM,Personal,10-06-2026,Yes
abcdyddv,MEDIUM,Personal,12-12-2027,No
;akhfs,MEDIUM,Personal,10-11-2026,No
gmx,MEDIUM,Personal,10-11-2026,No
kgyhk,MEDIUM,Personal,10-11-2026,No
kfh,LOW,Work,9-10-2026,Yes
yfkhbm,MEDIUM,Personal,9-10-2026,No
;akhfs,MEDIUM,Personal,12-11-2026,No
gb mgj,MEDIUM,Personal,12-11-2026,No
go to market,MEDIUM,Personal,12-11-2026,No
gmxnm,MEDIUM,Personal,12-11-2026,No
hkyf,MEDIUM,Work,10-12-2021,Yes
learn python,MEDIUM,Personal,01-01-2027,No
learn python,MEDIUM,Personal,12-12-2026,Yes
ougdlk;nv,MEDIUM,Personal,29-05-2020,Yes
iuglkil,MEDIUM,Personal,10-11-2007,Yes
ljac,MEDIUM,Work,29-05-2026,Yes
ugefl,MEDIUM,Work,29-05-2020,Yes
ugjK<,MEDIUM,Personal,01-06-2026,Yes
khv,MEDIUM,Study,02-06-2026,Yes
khvpihj,MEDIUM,Personal,03-06-2026,Yes
hkyf,HIGH,Shopping,30-11-2029,No
abcddy,MEDIUM,Personal,08-06-2026,Yes
addy,HIGH,Study,08-06-2026,Yes
"uyjcm,vmvlvsmlrimllivmahyerotfgb lnk ubj , bgjtfuxdezxrwk",MEDIUM,Personal,08-06-2026,Yes
ahfh,HIGH,Other,11-12-2029,No
gcb,MEDIUM,Personal,08-06-2026,Yes
ajvdlb,MEDIUM,Personal,09-06-2026,No
ahg,MEDIUM,Personal,17-06-2026,No
aFFC,MEDIUM,Personal,11-06-2026,No
addy,HIGH,Work,12-06-2026,No
ahjbgvl,MEDIUM,Personal,30-06-2026,No
cbN<,MEDIUM,Personal,20-06-2026,No
sfhn,MEDIUM,Personal,09-06-2026,Yes
sgdv,MEDIUM,Work,30-11-2021,Yes
gv dgs,HIGH,Shopping,30-11-2020,Yes
sfhn,MEDIUM,Personal,09-06-2026,Yes
hvm,MEDIUM,Personal,12-06-2026,No
jfbmj,MEDIUM,Personal,10-06-2026,Yes
fhmk,MEDIUM,Personal,10-06-2026,No
"hv,n",MEDIUM,Personal,10-06-2026,No
kbhnm,MEDIUM,Personal,12-06-2026,No
k.mbl,MEDIUM,Personal,10-06-2026,No
khn,MEDIUM,Personal,10-06-2026,No
jgbl,HIGH,Work,10-06-2026,No
